,condition,elevation,humidity,latitude,location,longitude,pressure,temperature,time
300,Sunny,27.07,0.66,-33.87,Sydney,151.21,1018.5,22.25,1458867600
301,Sunny,27.07,0.65,-33.87,Sydney,151.21,1017.81,22.51,1458871200
302,Sunny,27.07,0.5,-33.87,Sydney,151.21,1016.52,24.66,1458874800
303,Rain,27.07,0.58,-33.87,Sydney,151.21,1016.18,23.5,1458878400
304,Sunny,27.07,0.46,-33.87,Sydney,151.21,1015.46,25.09,1458882000
305,Sunny,27.07,0.49,-33.87,Sydney,151.21,1015.2,24.6,1458885600
306,Rain,27.07,0.54,-33.87,Sydney,151.21,1015.36,24.04,1458889200
307,Sunny,27.07,0.6,-33.87,Sydney,151.21,1015.68,22.5,1458892800
308,Sunny,27.07,0.67,-33.87,Sydney,151.21,1016.02,21.87,1458896400
309,Sunny,27.07,0.7,-33.87,Sydney,151.21,1016.82,20.32,1458900000
310,Sunny,27.07,0.72,-33.87,Sydney,151.21,1017.47,20.94,1458903600
311,Sunny,27.07,0.77,-33.87,Sydney,151.21,1017.44,20.16,1458907200
312,Sunny,27.07,0.82,-33.87,Sydney,151.21,1018.89,17.54,1459429200
313,Sunny,27.07,0.8,-33.87,Sydney,151.21,1018.45,17.35,1459432800
314,Sunny,27.07,0.8,-33.87,Sydney,151.21,1018.16,16.09,1459436400
315,Rain,27.07,0.84,-33.87,Sydney,151.21,1018.16,16.47,1459440000
316,Sunny,27.07,0.87,-33.87,Sydney,151.21,1017.58,16.15,1459443600
317,Sunny,27.07,0.79,-33.87,Sydney,151.21,1017.5,16.41,1459447200
318,Rain,27.07,0.88,-33.87,Sydney,151.21,1017.78,16.0,1459450800
319,Sunny,27.07,0.87,-33.87,Sydney,151.21,1018.36,16.26,1459454400
320,Sunny,27.07,0.71,-33.87,Sydney,151.21,1018.7,18.67,1459458000
321,Sunny,27.07,0.72,-33.87,Sydney,151.21,1019.11,19.7,1459461600
322,Sunny,27.07,0.61,-33.87,Sydney,151.21,1018.9,22.24,1459465200
323,Sunny,27.07,0.48,-33.87,Sydney,151.21,1018.76,24.68,1459468800
